system:index,Annual_rai,Aspect_Mad,DEM_Mada_R,Dist_sett,GFW_defory,JRC_defory,JRC_degrady,MERGE_SRC,Slope_Mada,X,Y,dist_defor,dist_edge_,dist_river,dist_route,dist_track,popdens_ma,pressure_s,treated_An,treated_CF,treated_CZ,treated_TT,treeloss19,unique_id,.geo
0000000000000000138c_0000000000000000138c_0_0000000000000000138c_0_0000000000000000138c_0,1704.0,116.565048218,1004.0,4484.47314453,2022,2022,0,CFAM3,12.604382515,857955.0,7916265.0,751.797851563,175.0,4690.46923828,8632.7578125,108.166542053,0.0173329915851,45081.2890625,0,33619,0,0,0.0,sample_137,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000138f_0000000000000000138f_0_0000000000000000138f_0_0000000000000000138f_0,1725.0,116.07535553,1013.0,4095.8515625,2015,2015,0,CFAM3,12.2994165421,858405.0,7916265.0,1106.75195313,30.0,4787.703125,8329.52539063,474.341644287,0.0163842402399,44987.265625,0,33622,0,0,18.0,sample_140,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001390_00000000000000001390_0_00000000000000001390_0_00000000000000001390_0,1725.0,125.909721375,988.0,3969.19384766,2017,2017,0,CFAM3,8.48523807526,858555.0,7916265.0,1235.47558594,108.0,4825.61914063,8204.05371094,600.0,0.0163272581995,44953.0703125,0,33623,0,0,17.0,sample_141,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001374_00000000000000001374_0_00000000000000001374_0_00000000000000001374_0,1678.0,310.100891113,1018.0,4083.96875,2017,0,2016,CFAM3,11.694817543,855555.0,7916415.0,1060.23583984,680.0,4607.22265625,9978.46191406,2001.24963379,0.0168955568224,45796.9765625,0,34017,0,0,17.0,sample_154,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001377_00000000000000001377_0_00000000000000001377_0_00000000000000001377_0,1704.0,28.0091762543,1004.0,4744.5546875,2015,0,2015,CFAM3,12.5065097809,857355.0,7916415.0,513.517272949,210.0,4469.19433594,9029.6015625,450.0,0.0187200270593,45226.6679688,0,34029,0,0,15.0,sample_157,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001379_00000000000000001379_0_00000000000000001379_0_00000000000000001379_0,1704.0,74.7448806763,987.0,4688.54980469,2022,2022,0,CFAM3,5.42764282227,857805.0,7916415.0,721.248901367,60.0,4518.46191406,8831.67578125,84.8528137207,0.0160494390875,45115.9453125,0,34032,0,0,0.0,sample_159,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000137a_0000000000000000137a_0_0000000000000000137a_0_0000000000000000137a_0,1704.0,208.300750732,989.0,4558.61816406,2023,2023,0,CFAM3,3.52040505409,857955.0,7916415.0,834.086303711,162.0,4542.79638672,8769.54980469,30.0,0.0159288756549,45095.2929688,0,34033,0,0,0.0,sample_160,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000137f_0000000000000000137f_0_0000000000000000137f_0_0000000000000000137f_0,1725.0,266.877868652,982.0,3930.45800781,2017,2022,2017,CFAM3,12.9259519577,858705.0,7916415.0,1440.62487793,134.0,4724.78564453,8164.46582031,644.127319336,0.0165254585445,44947.71875,0,34038,0,0,17.0,sample_165,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000135f_0000000000000000135f_0_0000000000000000135f_0_0000000000000000135f_0,1704.0,283.392486572,999.0,4796.43603516,2015,0,2021,CFAM3,5.13969373703,857205.0,7916565.0,666.108093262,390.0,4305.07861328,9231.66796875,658.63494873,0.0174754858017,45290.7734375,0,34442,0,0,15.0,sample_182,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000134c_0000000000000000134c_0_0000000000000000134c_0_0000000000000000134c_0,1704.0,200.556045532,1020.0,4593.52783203,2018,0,2018,CFAM3,4.07258892059,858105.0,7916715.0,1145.51293945,175.0,4279.07714844,8828.61816406,0.0,0.0153490351513,45074.2421875,0,34862,0,0,0.0,sample_216,"{""type"":""MultiPoint"",""coordinates"":[]}"
